contract_id,title,file_name,file_path,char_count,word_count
0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR_AGREEMENT.txt,data/raw/LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR_AGREEMENT.txt,54290,5998
1,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",WHITESMOKE_INC_11_08_2011-EX-10_26-PROMOTION_AND_DISTRIBUTION_AGREEMENT.txt,data/raw/WHITESMOKE_INC_11_08_2011-EX-10_26-PROMOTION_AND_DISTRIBUTION_AGREEMENT.txt,70383,11313
2,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,LohaCompanyltd_20191209_F-1_EX-10_16_11917878_EX-10_16_Supply_Agreement.txt,data/raw/LohaCompanyltd_20191209_F-1_EX-10_16_11917878_EX-10_16_Supply_Agreement.txt,11475,1880
3,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,CENTRACKINTERNATIONALINC_10_29_1999-EX-10_3-WEB_SITE_HOSTING_AGREEMENT.txt,data/raw/CENTRACKINTERNATIONALINC_10_29_1999-EX-10_3-WEB_SITE_HOSTING_AGREEMENT.txt,15176,2280
4,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,NELNETINC_04_08_2020-EX-1-JOINT_FILING_AGREEMENT.txt,data/raw/NELNETINC_04_08_2020-EX-1-JOINT_FILING_AGREEMENT.txt,1081,170
5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,ADAMSGOLFINC_03_21_2005-EX-10_17-ENDORSEMENT_AGREEMENT.txt,data/raw/ADAMSGOLFINC_03_21_2005-EX-10_17-ENDORSEMENT_AGREEMENT.txt,24632,3770
6,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",KIROMICBIOPHARMA_INC_05_11_2020-EX-10_23-CONSULTING_AGREEMENT.txt,data/raw/KIROMICBIOPHARMA_INC_05_11_2020-EX-10_23-CONSULTING_AGREEMENT.txt,18403,2766
7,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",VEONEER_INC_02_21_2020-EX-10_11-JOINT_VENTURE_AGREEMENT.txt,data/raw/VEONEER_INC_02_21_2020-EX-10_11-JOINT_VENTURE_AGREEMENT.txt,8257,1334
8,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,DovaPharmaceuticalsInc_20181108_10-Q_EX-10_2_11414857_EX-10_2_Promotion_Agreement.txt,data/raw/DovaPharmaceuticalsInc_20181108_10-Q_EX-10_2_11414857_EX-10_2_Promotion_Agreement.txt,175580,26789
9,"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",PACIRA_PHARMACEUTICALS__INC__-_A_R_STRATEGIC_LICENSING__DISTRIBUTION_AND_MARKETING_AGREEMENT_.txt,data/raw/PACIRA_PHARMACEUTICALS__INC__-_A_R_STRATEGIC_LICENSING__DISTRIBUTION_AND_MARKETING_AGREEMENT_.txt,145168,22756
10,"MetLife, Inc. - Remarketing Agreement",MetLife__Inc__-_Remarketing_Agreement.txt,data/raw/MetLife__Inc__-_Remarketing_Agreement.txt,111249,17518
