contract_id,title,file_name,file_path,char_count,word_count
480,VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement,VnueInc_20150914_8-K_EX-10_1_9259571_EX-10_1_Promotion_Agreement.txt,data/raw/VnueInc_20150914_8-K_EX-10_1_9259571_EX-10_1_Promotion_Agreement.txt,10553,1634
449,2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement,2ThemartComInc_19990826_10-12G_EX-10_10_6700288_EX-10_10_Co-Branding_Agreement__Agency_Agreement.txt,data/raw/2ThemartComInc_19990826_10-12G_EX-10_10_6700288_EX-10_10_Co-Branding_Agreement__Agency_Agreement.txt,29454,4467
475,ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT AND MAINTENANCE AGREEMENT,ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT_AND_MAINTENANCE_AGREEMENT.txt,data/raw/ZONDWINDSYSTEMPARTNERSLTDSERIES85-B_04_03_2006-EX-10-MANAGEMENT_AND_MAINTENANCE_AGREEMENT.txt,17712,1368
434,ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement,ICORECONNECTINC_10_13_2010-EX-7_1-Strategic_Alliance_Agreement.txt,data/raw/ICORECONNECTINC_10_13_2010-EX-7_1-Strategic_Alliance_Agreement.txt,25246,3913
368,LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1,LejuHoldingsLtd_20140121_DRS__on_F-1__EX-10_26_8473102_EX-10_26_Content_License_Agreement1.txt,data/raw/LejuHoldingsLtd_20140121_DRS__on_F-1__EX-10_26_8473102_EX-10_26_Content_License_Agreement1.txt,46696,7198
55,WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,WPPPLC_04_30_2020-EX-4_28-SERVICE_AGREEMENT.txt,data/raw/WPPPLC_04_30_2020-EX-4_28-SERVICE_AGREEMENT.txt,65547,10958
322,PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement,PaperexchangeComInc_20000322_S-1A_EX-10_4_5202103_EX-10_4_Co-Branding_Agreement.txt,data/raw/PaperexchangeComInc_20000322_S-1A_EX-10_4_5202103_EX-10_4_Co-Branding_Agreement.txt,92875,12480
76,ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,ELECTRAMECCANICA_VEHICLES_CORP__-_Manufacturing_Agreement.txt,data/raw/ELECTRAMECCANICA_VEHICLES_CORP__-_Manufacturing_Agreement.txt,47889,7251
504,"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT",BLUEROCKRESIDENTIALGROWTHREIT_INC_06_01_2016-EX-1_1-AGENCY_AGREEMENT.txt,data/raw/BLUEROCKRESIDENTIALGROWTHREIT_INC_06_01_2016-EX-1_1-AGENCY_AGREEMENT.txt,134179,20909
347,"ADMA BioManufacturing, LLC -  Amendment #3 to Manufacturing Agreement ",ADMA_BioManufacturing__LLC_-__Amendment__3_to_Manufacturing_Agreement_.txt,data/raw/ADMA_BioManufacturing__LLC_-__Amendment__3_to_Manufacturing_Agreement_.txt,15312,2478
415,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10.13-JOINT VENTURE AGREEMENT,ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10_13-JOINT_VENTURE_AGREEMENT.txt,data/raw/ACCELERATEDTECHNOLOGIESHOLDINGCORP_04_24_2003-EX-10_13-JOINT_VENTURE_AGREEMENT.txt,13038,1911
220,ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,ArcaUsTreasuryFund_20200207_N-2_EX-99_K5_11971930_EX-99_K5_Development_Agreement.txt,data/raw/ArcaUsTreasuryFund_20200207_N-2_EX-99_K5_11971930_EX-99_K5_Development_Agreement.txt,15318,2316
117,RUBIOSRESTAURANTSINC_03_31_2008-EX-10.75-SPONSORSHIP AGREEMENT,RUBIOSRESTAURANTSINC_03_31_2008-EX-10_75-SPONSORSHIP_AGREEMENT.txt,data/raw/RUBIOSRESTAURANTSINC_03_31_2008-EX-10_75-SPONSORSHIP_AGREEMENT.txt,37103,5760
249,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,HertzGroupRealtyTrustInc_20190920_S-11A_EX-10_8_11816941_EX-10_8_Trademark_License_Agreement.txt,data/raw/HertzGroupRealtyTrustInc_20190920_S-11A_EX-10_8_11816941_EX-10_8_Trademark_License_Agreement.txt,14313,2236
173,GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGREEMENT.txt,data/raw/GSVINC_05_15_1998-EX-10-SPONSORSHIP_AGREEMENT.txt,50835,5880
93,NUVEEN - REMARKETING AGREEMENT,NUVEEN_-_REMARKETING_AGREEMENT.txt,data/raw/NUVEEN_-_REMARKETING_AGREEMENT.txt,70631,11298
325,RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT,RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4_23-SERVICE_AGREEMENT.txt,data/raw/RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4_23-SERVICE_AGREEMENT.txt,16372,2394
275,XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3),XENCORINC_10_25_2013-EX-10_24-COLLABORATION_AGREEMENT__3_.txt,data/raw/XENCORINC_10_25_2013-EX-10_24-COLLABORATION_AGREEMENT__3_.txt,140106,20117
342,"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT",FIDELITYNATIONALINFORMATIONSERVICES_INC_08_05_2009-EX-10_3-INTELLECTUAL_PROPERTY_AGREEMENT.txt,data/raw/FIDELITYNATIONALINFORMATIONSERVICES_INC_08_05_2009-EX-10_3-INTELLECTUAL_PROPERTY_AGREEMENT.txt,155463,19341
70,MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT,MEDIWOUNDLTD_01_15_2014-EX-10_6-SUPPLY_AGREEMENT.txt,data/raw/MEDIWOUNDLTD_01_15_2014-EX-10_6-SUPPLY_AGREEMENT.txt,49915,7708
